Item,Usage,Source,Link,Price (CAD)
Raspberry Pi 4 (2 GB),Computer,AliExpress,https://a.aliexpress.com/_mrh0oph,$80.38
Pi 4 Cooling Fan,Cooling,Ali Express,https://a.aliexpress.com/_mOZZjXv,$5.67
Pisugar S Pro Portable 5000 mAh UPS,Power Supply / Bank,Amazon,https://www.amazon.ca/gp/product/B097RCFHD2,$47.46
7 inch LCD Display,Display,AliExpress,https://a.aliexpress.com/_mPIB3Jt,$34.99
Waveshare rp2040-Zero,Controller Microcontroller,Self-Sourced,N/a,$0.00
Tact Switch Push Button ,Controller Buttons + Trigger,AliExpress,https://a.aliexpress.com/_mMydiq7,$2.42
Analog Effect Joystick ,Controller Joysticks,AliExpress,https://a.aliexpress.com/_mNbLpIn,$4.33
Controller PCB,Controller PCB,JLCPCB,N/a,$25.76
3D Printed Case/Parts,Housing/Buttons,Self-Sourced,N/a,$0.00
,,,Total CAD,$201.01
,,,Total USD,$146.74
